ma_item,ten_san_pham,tu_khoa,cap_bao_bi,site_ap_dung,thi_truong,so_thang_tctp,so_thang_hddg,so_thang_ap_dung,nguon_hsd,quy_tac_hsd,quy_tac_ngay_tran,dong1_loai,dong1_nhan,dong1_mau_ngay,dong1_thanh_phan,dong2_loai,dong2_nhan,dong2_mau_ngay,dong2_thanh_phan,dong3_loai,dong3_nhan,dong3_mau_ngay,dong3_thanh_phan,dong4_loai,dong4_nhan,dong4_mau_ngay,dong4_thanh_phan,ghi_chu_in,nguon_form,trang_thai,trang_thai_duyet,nguoi_cap_nhat,cap_nhat_luc,ngay_ra_soat_ke_tiep,canh_bao
02KK00313,Mì Kokomi Tôm chua cay 30gói x 65gr,KKM 65; KKM TMB; KKM TCC; KKM TCC 30,gói; thùng,MBP; MIP; MHP,VN,5,5,5,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,NSX,DDMMYY,hh:mm,EXPIRY,HSD,DDMMYY,#*S,,,,,,,,,,,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
02KK00314,Mì Kokomi Tôm chua cay 100gói x 65gr,KKM TCC 100; KKM TMB 100,gói; thùng,MBP; MIP; MHP,VN,5,5,5,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,NSX,DDMMYY,hh:mm,EXPIRY,HSD,DDMMYY,#*S,,,,,,,,,,,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
02KK00320,Mì Kokomi Bò hầm rau thơm MB 30gói x 75gr,KKM ĐB,gói; thùng,MBP; MIP; MHP,VN,5,5,5,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,NSX,DDMMYY,hh:mm,EXPIRY,HSD,DDMMYY,#*S,,,,,,,,,,,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
02KK00321,Mì Kokomi Đại hộp Tôm chua cay 24hộp x 65gr,KKM Ly,gói; thùng,MBP; MIP; MHP,VN,5,5,5,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,NSX,DDMMYY,hh:mm,EXPIRY,HSD,DDMMYY,#*S,,,,,,,,,,,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
02KK00361,Mì Kokomi Đại 90 Tôm chua cay MB 30gói x 90gr,KKM 90,gói; thùng,MBP; MIP; MHP,VN,5,5,5,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,NSX,DDMMYY,hh:mm,EXPIRY,HSD,DDMMYY,#*S,,,,,,,,,,,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
02KK00369,Mì Kokomi Đại 90 hộp Tôm chua cay thường ngày (có thịt) 24hộp x 90gr,KKM ly 90,gói; thùng,MBP; MIP,VN,4,4,4,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,NSX,DDMMYY,hh:mm,EXPIRY,HSD,DDMMYY,#*S,,,,,,,,,,,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
02KK00463,Mì Komi xốt Thái 24ly x 66gr,Komi xốt thát,gói; thùng,MBP; MIP,VN,5,5,5,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,NSX,DDMMYY,hh:mm,EXPIRY,HSD,DDMMYY,#*S,,,,,,,,,,,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
02KK00464,Mì Komi vị sườn cay ớt xiêm xanh 24ly x 60gr,Komi OXX; Komi ớt xiêm xanh,gói; thùng,MBP; MIP,VN,5,5,5,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,NSX,DDMMYY,hh:mm,EXPIRY,HSD,DDMMYY,#*S,,,,,,,,,,,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
02KK00465,Mì trộn Komi tôm cay 24ly x 68gr,Komi cay,gói; thùng,MBP; MIP,VN,5,5,5,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,NSX,DDMMYY,hh:mm,EXPIRY,HSD,DDMMYY,#*S,,,,,,,,,,,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
02KK00494,Mì Komi xốt kiểu Thái (QR) 24ly x 60gr,Komi xốt thái QR,gói; thùng,MBP; MIP,VN,5,5,5,TCTP,NSX + N tháng,LUI_CUOI_THANG,PROD,NSX,DDMMYY,hh:mm,EXPIRY,HSD,DDMMYY,#*S,,,,,,,,,,,Đang áp dụng,DA_DUYET,nhập từ Master_DateCode.xlsx,2026-08-31,2027-08-31,
